,Uncheck External Calls,Strict Balance Equality,Transaction State Dependency,Block Info Dependency,Greedy Contract,DoS Under External Influence,Nest Call,Reentrancy
ce6c1005bf05b370af93c1f70d7798aa08c0b6d6,0,0,0,0,0,0,0,0
E05CeDD2838E4e1d99B539D8C768D6EF2a10F729,0,0,0,0,0,0,0,0
c5cdcd5470aef35fc33bddff3f8ecec027f95b1d,0,0,0,0,0,0,0,0
E5a04D98538231b0fAb9ABa60cd73cE4fF3039DF,0,0,0,0,0,0,0,0
995020804986274763df9deb0296b754f2659ca1,0,0,0,1,0,0,0,0
eA13644b32E570C95B767849011B48Bbb0E6bBB9,0,0,0,0,0,0,0,0
215b4a7cd7f4ad4594867bbcc91cac08c83ab507,0,0,0,0,0,0,0,0
755cdba6ae4f479f7164792b318b2a06c759833b,0,0,0,0,0,0,0,0
0f598112679b78e17a4a9febc83703710d33489c,0,0,0,0,0,0,0,0
9EA80e204045329Ba752D03C395F82A12799f13d,0,0,0,0,0,0,0,0
a35e3e419ae0031460af1e7a1386cb8f0d7d0efb,0,0,0,0,0,0,0,0
103c2c150a2dbcc277ee084c59881978060c8c22,0,0,0,1,0,0,0,0
2c6c596cfd4c2c3b039db90fd3c8acb564e13251,0,0,0,1,0,0,0,0
635783f8dc5e941fc142235ea44cc3529c17695d,0,0,0,0,0,0,0,0
8ff920020c8ad673661c8117f2855c384758c572,0,0,0,0,0,0,0,0
286e052bc8250250566683424001ee5224867d91,0,0,0,0,0,0,0,0
29b77fa51f36991f99bbeb702471b7227510d05a,0,0,0,0,0,0,0,0
5bd4b6ab074ede76baa2aec49dcf9edb89a90dcf,0,0,0,0,0,0,0,0
fea61dbc3b9882efcd139a5e28b32234b9c76aea,0,0,1,0,0,0,0,0
c68d1fc21e05d135eaf640aae84a2a9dada69672,0,0,0,0,0,0,0,0
8be901d10d3d6328bd00c8c9fd19d321bb3277c0,0,0,0,0,0,0,0,0
ab7c74abC0C4d48d1bdad5DCB26153FC8780f83E,1,0,0,0,0,0,0,0
759981e5af7661836d305f71779690808c1de51f,0,0,0,0,0,0,0,0
1a8cc57f1155d7df4626978401e203e00da097f7,0,0,0,0,0,0,0,0
0b6bc31fe6839ec3b8cfc98819cec7fa64158a8f,0,0,0,0,0,0,0,1
